customerID,MonthlyCharges,TotalCharges,tenure,Churn,Contract,InternetService,PaymentMethod,PaperlessBilling
6572-ADKRS,74.8,3548.3,46,No,Month-to-month,Fiber optic,Credit card (automatic),Yes
5380-WJKOV,106.35,3549.25,34,Yes,Month-to-month,Fiber optic,Electronic check,Yes
8168-UQWWF,97.85,1105.4,11,Yes,Month-to-month,Fiber optic,Bank transfer (automatic),Yes
8865-TNMNX,49.55,475.7,10,No,One year,DSL,Mailed check,No
9489-DEDVP,69.2,4872.35,70,No,Two year,DSL,Credit card (automatic),Yes
9867-JCZSP,20.75,418.25,17,No,One year,No,Mailed check,No
4671-VJLCL,79.85,4861.45,63,No,Two year,DSL,Credit card (automatic),Yes
4080-IIARD,76.2,981.45,13,No,Month-to-month,DSL,Electronic check,Yes
3714-NTNFO,84.5,3906.7,49,No,Month-to-month,Fiber optic,Electronic check,Yes
5948-UJZLF,49.25,97.0,2,No,Month-to-month,DSL,Mailed check,No
7760-OYPDY,80.65,144.15,2,Yes,Month-to-month,Fiber optic,Electronic check,Yes
7639-LIAYI,79.75,4217.8,52,No,Two year,DSL,Credit card (automatic),Yes
2954-PIBKO,64.15,4254.1,69,No,Two year,DSL,Credit card (automatic),Yes
8012-SOUDQ,90.25,3838.75,43,No,Month-to-month,Fiber optic,Electronic check,Yes
9420-LOJKX,99.1,1426.4,15,Yes,Month-to-month,Fiber optic,Credit card (automatic),Yes
6575-SUVOI,69.5,1752.65,25,No,Month-to-month,DSL,Credit card (automatic),Yes
7495-OOKFY,80.65,633.3,8,Yes,Month-to-month,Fiber optic,Credit card (automatic),Yes
4667-QONEA,74.85,4456.35,60,No,One year,DSL,Credit card (automatic),Yes
1658-BYGOY,95.45,1752.55,18,Yes,Month-to-month,Fiber optic,Electronic check,Yes
8769-KKTPH,99.65,6311.2,63,No,One year,Fiber optic,Credit card (automatic),Yes
5067-XJQFU,108.45,7076.35,66,No,One year,Fiber optic,Electronic check,Yes
3957-SQXML,24.95,894.3,34,No,Two year,No,Credit card (automatic),No
5954-BDFSG,107.5,7853.7,72,No,Two year,Fiber optic,Credit card (automatic),Yes
0434-CSFON,100.5,4707.1,47,No,Month-to-month,Fiber optic,Electronic check,Yes
1215-FIGMP,89.9,5450.7,60,No,Month-to-month,Fiber optic,Bank transfer (automatic),Yes
0526-SXDJP,42.1,2962.0,72,No,Two year,DSL,Bank transfer (automatic),No
0557-ASKVU,54.4,957.1,18,No,One year,DSL,Credit card (automatic),Yes
5698-BQJOH,94.4,857.25,9,Yes,Month-to-month,Fiber optic,Electronic check,No
5122-CYFXA,75.3,244.1,3,No,Month-to-month,DSL,Electronic check,Yes
8627-ZYGSZ,78.9,3650.35,47,No,One year,Fiber optic,Electronic check,Yes
3410-YOQBQ,79.2,2497.2,31,No,Two year,DSL,Mailed check,No
3170-NMYVV,20.15,930.9,50,No,Two year,No,Bank transfer (automatic),No
7410-OIEDU,79.85,887.35,10,No,Month-to-month,Fiber optic,Mailed check,Yes
2273-QCKXA,49.05,49.05,1,No,Month-to-month,DSL,Mailed check,No
0731-EBJQB,20.4,1090.65,52,No,One year,No,Electronic check,Yes
1891-QRQSA,111.6,7099.0,64,No,Two year,Fiber optic,Bank transfer (automatic),Yes
8028-PNXHQ,24.25,1424.6,62,No,Two year,No,Bank transfer (automatic),Yes
5630-AHZIL,64.5,177.4,3,No,Month-to-month,DSL,Bank transfer (automatic),Yes
2673-CXQEU,110.5,6139.5,56,No,One year,Fiber optic,Electronic check,No
6416-JNVRK,55.65,2688.85,46,No,One year,DSL,Credit card (automatic),No
5590-ZSKRV,54.65,482.25,8,No,Month-to-month,DSL,Mailed check,No
0191-ZHSKZ,74.75,2111.3,30,No,Month-to-month,DSL,Electronic check,Yes
3887-PBQAO,25.9,1216.6,45,No,One year,No,Credit card (automatic),Yes
5919-TMRGD,79.35,79.35,1,Yes,Month-to-month,Fiber optic,Electronic check,Yes
8108-UXRQN,50.55,565.35,11,No,Month-to-month,DSL,Electronic check,No
9191-MYQKX,75.15,496.9,7,Yes,Month-to-month,Fiber optic,Bank transfer (automatic),Yes
9919-YLNNG,103.8,4327.5,42,No,Month-to-month,Fiber optic,Bank transfer (automatic),Yes
0318-ZOPWS,20.15,973.35,49,No,Two year,No,Bank transfer (automatic),Yes
4445-ZJNMU,99.3,918.75,9,No,Month-to-month,Fiber optic,Credit card (automatic),Yes
4808-YNLEU,62.15,2215.45,35,No,One year,DSL,Bank transfer (automatic),Yes
1862-QRWPE,20.65,1057.0,48,No,Two year,No,Bank transfer (automatic),No
2796-NNUFI,19.95,927.1,46,No,Two year,No,Mailed check,Yes
3016-KSVCP,33.75,1009.25,29,No,Month-to-month,DSL,Mailed check,No
4767-HZZHQ,82.05,2570.2,30,No,Month-to-month,Fiber optic,Bank transfer (automatic),No
2424-WVHPL,74.7,74.7,1,No,Month-to-month,Fiber optic,Electronic check,No
7233-PAHHL,84.0,5714.25,66,No,Two year,DSL,Mailed check,Yes
6067-NGCEU,111.05,7107.0,65,No,Month-to-month,Fiber optic,Credit card (automatic),Yes
9848-JQJTX,100.9,7459.05,72,No,Two year,Fiber optic,Bank transfer (automatic),Yes
8637-XJIVR,78.95,927.35,12,Yes,Month-to-month,Fiber optic,Electronic check,Yes
9803-FTJCG,66.85,4748.7,71,No,One year,DSL,Credit card (automatic),Yes
0278-YXOOG,21.05,113.85,5,Yes,Month-to-month,No,Mailed check,No
3212-KXOCR,21.0,1107.2,52,No,Two year,No,Bank transfer (automatic),No
4598-XLKNJ,98.5,2514.5,25,Yes,Month-to-month,Fiber optic,Electronic check,Yes
6380-ARCEH,20.2,20.2,1,No,Month-to-month,No,Mailed check,No
3679-XASPY,19.45,19.45,1,No,Month-to-month,No,Electronic check,No
7123-WQUHX,95.0,3605.6,38,No,One year,Fiber optic,Bank transfer (automatic),No
5386-THSLQ,45.55,3027.25,66,No,One year,DSL,Bank transfer (automatic),No
3192-NQECA,110.0,7611.85,68,Yes,Two year,Fiber optic,Bank transfer (automatic),Yes
6180-YBIQI,24.3,100.2,5,No,Month-to-month,DSL,Mailed check,No
6728-DKUCO,104.15,7303.05,72,No,One year,Fiber optic,Electronic check,Yes
9750-BOOHV,30.15,927.65,32,No,One year,DSL,Mailed check,No
8597-CWYHH,94.35,3921.3,43,No,One year,Fiber optic,Mailed check,No
2848-YXSMW,19.4,1363.25,72,No,Two year,No,Credit card (automatic),No
0486-HECZI,96.75,5238.9,55,Yes,Month-to-month,Fiber optic,Electronic check,Yes
4549-ZDQYY,57.95,3042.25,52,No,One year,DSL,Credit card (automatic),No
5712-AHQNN,91.65,3954.1,43,No,Month-to-month,Fiber optic,Electronic check,Yes
4846-WHAFZ,76.5,2868.15,37,Yes,Month-to-month,Fiber optic,Electronic check,Yes
5256-SKJGO,54.6,3423.5,64,No,Two year,DSL,Electronic check,Yes
3071-VBYPO,89.85,248.4,3,No,Month-to-month,Fiber optic,Electronic check,No
9560-BBZXK,31.05,1126.35,36,No,Two year,DSL,Bank transfer (automatic),No
5299-RULOA,100.25,1064.65,10,Yes,Month-to-month,Fiber optic,Electronic check,Yes
8402-OOOHJ,20.65,835.15,41,No,Two year,No,Mailed check,No
9445-ZUEQE,85.2,2151.6,27,No,Month-to-month,Fiber optic,Credit card (automatic),Yes
1091-SOZGA,99.8,5515.45,56,No,One year,Fiber optic,Credit card (automatic),Yes
2928-HLDBA,20.7,112.75,6,No,Month-to-month,No,Mailed check,No
0404-SWRVG,74.4,229.55,3,Yes,Month-to-month,Fiber optic,Electronic check,Yes
6497-TILVL,50.7,350.35,7,No,Month-to-month,DSL,Mailed check,No
7219-TLZHO,20.85,62.9,4,No,Month-to-month,No,Mailed check,No
4622-YNKIJ,88.95,3027.65,33,No,Two year,Fiber optic,Electronic check,Yes
4412-YLTKF,78.05,2135.5,27,Yes,Month-to-month,Fiber optic,Electronic check,Yes
6734-PSBAW,23.55,1723.95,72,No,Two year,No,Bank transfer (automatic),Yes
3930-ZGWVE,19.75,19.75,1,No,Month-to-month,No,Mailed check,No
2639-UGMAZ,56.45,3985.35,71,No,One year,DSL,Electronic check,Yes
2876-GZYZC,85.95,1215.65,13,No,Month-to-month,Fiber optic,Electronic check,Yes
6207-WIOLX,58.6,1502.65,25,Yes,Month-to-month,DSL,Credit card (automatic),Yes
8587-XYZSF,50.55,3260.1,67,No,Two year,DSL,Bank transfer (automatic),No
3091-FYHKI,35.45,35.45,1,Yes,Month-to-month,DSL,Electronic check,Yes
2372-HWUHI,44.35,81.25,2,Yes,Month-to-month,DSL,Electronic check,No
7799-LGRDP,25.7,1188.2,43,No,Two year,No,Credit card (automatic),Yes
7850-VWJUU,75.0,1778.5,23,No,Month-to-month,Fiber optic,Bank transfer (automatic),Yes
3774-VBNXY,20.2,1277.75,64,No,Two year,No,Mailed check,No
6217-KDYWC,19.6,1170.55,57,No,Two year,No,Mailed check,Yes
0390-DCFDQ,70.45,70.45,1,Yes,Month-to-month,Fiber optic,Mailed check,Yes
3146-MSEGF,88.05,6425.65,72,No,Two year,DSL,Credit card (automatic),Yes
4080-OGPJL,71.15,563.65,8,Yes,Month-to-month,DSL,Electronic check,No
1095-WGNGG,101.05,5971.25,61,No,Two year,Fiber optic,Bank transfer (automatic),Yes
2636-SJDOU,84.3,5289.05,64,No,One year,Fiber optic,Credit card (automatic),Yes
1131-QQZEB,23.95,1756.2,71,No,Two year,No,Bank transfer (automatic),No
5716-EZXZN,99.05,6416.7,65,No,Two year,Fiber optic,Credit card (automatic),Yes
6837-BJYDQ,19.6,61.35,3,No,One year,No,Mailed check,No
2135-RXIHG,45.65,45.65,1,Yes,Month-to-month,DSL,Electronic check,Yes
6440-DKQGE,64.5,1929.95,30,No,One year,DSL,Credit card (automatic),No
3466-BYAVD,69.5,1071.4,15,No,Month-to-month,DSL,Mailed check,Yes
3780-YVMFA,68.55,564.35,8,No,Month-to-month,DSL,Electronic check,Yes
3874-EQOEP,95.0,655.5,7,Yes,Month-to-month,Fiber optic,Mailed check,No
1679-JRFBR,108.15,7930.55,70,No,One year,Fiber optic,Credit card (automatic),Yes
9073-ZZIAY,86.1,5215.25,62,No,Two year,DSL,Electronic check,No
3077-RSNTJ,19.7,113.5,6,No,Month-to-month,No,Mailed check,No
6551-GNYDG,80.9,1152.8,14,No,Month-to-month,Fiber optic,Bank transfer (automatic),Yes
9167-APMXZ,84.15,1821.95,22,No,Month-to-month,Fiber optic,Bank transfer (automatic),Yes
2749-CTKAJ,20.15,419.9,22,No,One year,No,Mailed check,No
6371-NZYEG,64.25,1024.0,16,No,Two year,DSL,Mailed check,No
7554-NEWDD,25.7,251.6,10,No,Two year,No,Bank transfer (automatic),No
8992-VONJD,56.0,764.55,13,No,Month-to-month,DSL,Electronic check,Yes
0867-MKZVY,82.4,1592.35,20,Yes,Month-to-month,Fiber optic,Electronic check,No
4482-EWFMI,69.7,135.2,2,No,Month-to-month,Fiber optic,Electronic check,Yes
4648-YPBTM,73.9,3958.25,53,No,Two year,DSL,Bank transfer (automatic),Yes
2907-ILJBN,20.6,233.9,11,No,One year,No,Mailed check,No
6345-FZOQH,19.9,1363.45,69,No,Two year,No,Mailed check,No
3376-BMGFE,70.9,273.0,4,Yes,Month-to-month,Fiber optic,Bank transfer (automatic),Yes
5997-OPVFA,89.05,6254.45,72,No,Two year,DSL,Bank transfer (automatic),Yes
3445-HXXGF,45.3,2651.2,58,Yes,Month-to-month,DSL,Electronic check,Yes
1159-WFSGR,20.4,321.4,16,No,Month-to-month,No,Electronic check,No
7654-YWJUF,84.25,3539.25,43,No,One year,Fiber optic,Bank transfer (automatic),Yes
1875-QIVME,104.4,242.8,2,Yes,Month-to-month,Fiber optic,Electronic check,Yes
6727-IOTLZ,81.95,1181.75,14,No,Two year,DSL,Mailed check,No
0691-JVSYA,94.85,5000.2,53,Yes,One year,Fiber optic,Bank transfer (automatic),Yes
5918-VUKWP,20.55,654.55,32,No,One year,No,Bank transfer (automatic),No
1744-JHKYS,24.7,780.2,34,No,Month-to-month,No,Electronic check,No
2656-FMOKZ,74.45,1145.7,15,Yes,Month-to-month,Fiber optic,Mailed check,Yes
2070-FNEXE,76.45,503.6,7,Yes,Month-to-month,Fiber optic,Bank transfer (automatic),No
5947-SGKCL,105.35,1559.25,15,No,Month-to-month,Fiber optic,Bank transfer (automatic),Yes
3712-PKXZA,20.55,1252.0,61,No,One year,No,Credit card (automatic),Yes
6317-YPKDH,29.95,29.95,1,Yes,Month-to-month,DSL,Bank transfer (automatic),No
6582-OIVSP,45.3,45.3,1,No,Month-to-month,DSL,Mailed check,No
9367-WXLCH,84.5,662.65,8,Yes,Month-to-month,Fiber optic,Bank transfer (automatic),No
5524-KHNJP,74.75,2453.3,33,No,One year,DSL,Credit card (automatic),No
1918-ZBFQJ,79.25,1111.65,13,Yes,Month-to-month,Fiber optic,Electronic check,Yes
1024-GUALD,24.8,24.8,1,Yes,Month-to-month,DSL,Electronic check,Yes
4827-USJHP,51.8,1023.85,20,No,Month-to-month,DSL,Mailed check,Yes
8167-GJLRN,30.4,82.15,3,No,Month-to-month,DSL,Electronic check,No
0956-SYCWG,19.65,244.8,13,No,One year,No,Electronic check,No
8017-UVSZU,56.6,2379.1,40,No,Month-to-month,DSL,Credit card (automatic),No
7100-FQPRV,71.9,3173.35,43,No,One year,DSL,Credit card (automatic),Yes
2472-OVKUP,91.0,531.0,6,Yes,Month-to-month,Fiber optic,Electronic check,Yes
2984-RGEYA,19.75,1375.4,69,No,Two year,No,Bank transfer (automatic),No
9680-NIAUV,109.7,8129.3,72,No,Two year,Fiber optic,Credit card (automatic),No
2146-EGVDT,19.3,1192.7,59,No,Two year,No,Credit card (automatic),No
2604-IJPDU,96.55,1901.65,20,No,Month-to-month,Fiber optic,Electronic check,Yes
9178-JHUVJ,24.1,587.4,24,No,Two year,No,Bank transfer (automatic),Yes
6168-YBYNP,111.35,6519.75,59,No,Month-to-month,Fiber optic,Electronic check,Yes
7255-SSFBC,112.25,8041.65,72,No,Two year,Fiber optic,Bank transfer (automatic),Yes
3645-DEYGF,20.75,20.75,1,No,Month-to-month,No,Mailed check,No
9323-HGFWY,101.9,2681.15,27,No,One year,Fiber optic,Credit card (automatic),Yes
8544-GOQSH,80.05,1112.3,14,No,Month-to-month,Fiber optic,Credit card (automatic),Yes
3363-DTIVD,105.55,7405.5,71,No,Two year,Fiber optic,Electronic check,No
7018-WBJNK,78.3,1033.95,13,No,Month-to-month,Fiber optic,Credit card (automatic),Yes
9142-KZXOP,68.85,2958.95,44,No,Month-to-month,Fiber optic,Credit card (automatic),No
7674-YTAFD,79.95,2684.85,33,No,One year,Fiber optic,Bank transfer (automatic),Yes
6348-SNFUS,55.45,4179.2,72,No,Two year,DSL,Credit card (automatic),Yes
1285-OKIPP,79.9,79.9,1,Yes,Month-to-month,Fiber optic,Electronic check,No
7825-ECJRF,106.6,1934.45,19,Yes,Month-to-month,Fiber optic,Electronic check,Yes
1347-KTTTA,102.45,6654.1,64,No,One year,Fiber optic,Credit card (automatic),Yes
7841-TZDMQ,46.0,84.5,2,Yes,Month-to-month,DSL,Credit card (automatic),Yes
4195-NZGTA,25.25,25.25,1,No,Month-to-month,DSL,Electronic check,No
7157-SMCFK,19.75,1124.2,61,No,Two year,No,Mailed check,No
4709-LKHYG,20.0,540.05,29,No,One year,No,Electronic check,No
2504-DSHIH,86.8,1975.85,23,No,Month-to-month,Fiber optic,Electronic check,No
0699-NDKJM,58.75,3437.45,57,No,Month-to-month,DSL,Bank transfer (automatic),Yes
9286-BHDQG,45.25,3139.8,72,No,Two year,DSL,Credit card (automatic),No
0230-WEQUW,56.6,3789.2,66,No,Two year,DSL,Bank transfer (automatic),Yes
2040-LDIWQ,84.2,5324.5,65,No,Two year,DSL,Bank transfer (automatic),Yes
6496-JDSSB,80.0,624.6,8,No,Month-to-month,Fiber optic,Bank transfer (automatic),Yes
9408-SSNVZ,70.15,268.35,4,Yes,Month-to-month,Fiber optic,Electronic check,Yes
4443-EMBNA,24.75,1836.9,71,No,Two year,No,Bank transfer (automatic),No
6469-MRVET,20.2,20.2,1,No,One year,No,Electronic check,Yes
0742-MOABM,50.05,179.35,4,Yes,Month-to-month,DSL,Mailed check,No
5961-VUSRV,19.35,219.35,12,No,One year,No,Bank transfer (automatic),Yes
6778-JFCMK,50.6,1288.75,24,No,One year,DSL,Mailed check,Yes
6341-JVQGF,81.15,2545.75,31,No,One year,DSL,Mailed check,Yes
2232-DMLXU,55.2,55.2,1,Yes,Month-to-month,DSL,Mailed check,No
4811-JBUVU,89.9,2723.15,30,No,Month-to-month,Fiber optic,Credit card (automatic),Yes
0945-TSONX,85.3,4107.25,47,No,Two year,DSL,Credit card (automatic),Yes
2651-ZCBXV,108.0,5760.65,54,No,Two year,Fiber optic,Credit card (automatic),Yes
3316-UWXUY,93.5,4747.5,50,No,Month-to-month,Fiber optic,Credit card (automatic),Yes
8937-RDTHP,84.6,84.6,1,Yes,Month-to-month,Fiber optic,Mailed check,Yes
7083-MIOPC,20.25,1566.9,72,No,Two year,No,Credit card (automatic),No
1984-GPTEH,25.15,702.0,29,No,Month-to-month,No,Electronic check,No
1251-KRREG,54.4,114.1,2,Yes,Month-to-month,DSL,Mailed check,Yes
0621-JFHOL,29.6,299.05,10,No,Two year,DSL,Mailed check,Yes
9903-LYSAB,73.15,1305.95,18,No,Month-to-month,Fiber optic,Electronic check,Yes
0094-OIFMO,95.0,1120.3,11,Yes,Month-to-month,Fiber optic,Electronic check,Yes
9227-UAQFT,19.75,284.35,16,No,Two year,No,Mailed check,No
7301-ABVAD,86.6,6350.5,72,No,Two year,DSL,Bank transfer (automatic),No
6614-FHDBO,109.2,7878.3,72,No,Two year,Fiber optic,Bank transfer (automatic),No
7576-ASEJU,74.7,3187.65,41,No,One year,DSL,Credit card (automatic),Yes
9058-HRZSV,94.4,6126.15,65,No,Month-to-month,Fiber optic,Electronic check,No
4522-AKYLR,54.8,731.3,13,No,Month-to-month,DSL,Electronic check,Yes
0221-WMXNQ,75.35,273.4,4,No,Month-to-month,Fiber optic,Electronic check,No
0303-UNCIP,65.0,2531.8,41,No,One year,DSL,Mailed check,No
9947-OTFQU,74.4,1074.3,15,Yes,Month-to-month,Fiber optic,Electronic check,Yes
0322-YINQP,48.55,48.55,1,Yes,Month-to-month,DSL,Mailed check,Yes
0959-WHOKV,99.0,4298.45,42,No,One year,Fiber optic,Electronic check,Yes
4075-JFPGR,93.5,4619.55,51,No,One year,Fiber optic,Electronic check,Yes
4629-NRXKX,70.4,147.15,2,Yes,Month-to-month,Fiber optic,Electronic check,No
9514-JDSKI,40.2,40.2,1,Yes,Month-to-month,DSL,Electronic check,No
3282-ZISZV,83.7,2633.3,32,No,One year,DSL,Credit card (automatic),No
3675-YDUPJ,19.85,193.05,10,No,Month-to-month,No,Mailed check,Yes
4111-BNXIF,59.55,4103.9,67,No,Two year,DSL,Electronic check,Yes
7017-VFHAY,115.1,7008.15,61,No,Two year,Fiber optic,Credit card (automatic),No
6655-LHBYW,114.35,5791.1,50,No,One year,Fiber optic,Credit card (automatic),No
4959-JOSRX,44.6,80.55,2,Yes,Month-to-month,DSL,Credit card (automatic),Yes
5046-NUHWD,45.0,1228.65,29,No,Month-to-month,DSL,Electronic check,Yes
7273-TEFQD,41.15,132.2,3,Yes,Month-to-month,DSL,Electronic check,Yes
3606-TWKGI,106.9,1364.3,13,Yes,Month-to-month,Fiber optic,Electronic check,Yes
7529-ZDFXI,89.85,4925.35,57,No,Month-to-month,Fiber optic,Electronic check,Yes
7605-BDWDC,49.85,1520.1,31,No,Two year,DSL,Bank transfer (automatic),Yes
1950-KSVVJ,113.3,5032.25,45,No,One year,Fiber optic,Mailed check,No
0123-CRBRT,88.1,5526.75,61,No,Two year,DSL,Mailed check,No
6292-TOSSS,24.9,1195.25,50,No,Two year,No,Bank transfer (automatic),No
3197-ARFOY,105.0,2007.25,19,No,Month-to-month,Fiber optic,Mailed check,Yes
6323-AYBRX,19.35,1099.6,59,Yes,Two year,No,Mailed check,No
7014-ZZXAW,24.25,1732.95,71,No,Two year,No,Credit card (automatic),Yes
4385-GZQXV,94.45,1511.2,16,Yes,Month-to-month,Fiber optic,Electronic check,Yes
7633-MVPUY,59.75,3450.15,57,No,Two year,DSL,Electronic check,Yes
6366-ZGQGL,24.8,24.8,1,Yes,Month-to-month,DSL,Bank transfer (automatic),No
4716-HHKQH,107.05,2172.05,20,No,Month-to-month,Fiber optic,Electronic check,No
5940-AHUHD,70.6,70.6,1,Yes,Month-to-month,Fiber optic,Mailed check,No
6432-TWQLB,85.4,401.1,5,Yes,Month-to-month,Fiber optic,Electronic check,Yes
4484-GLZOU,105.05,5624.85,52,Yes,Month-to-month,Fiber optic,Electronic check,Yes
3179-GBRWV,64.95,1339.8,21,No,Month-to-month,DSL,Bank transfer (automatic),Yes
8645-KWHJO,55.0,771.95,14,No,Month-to-month,DSL,Electronic check,Yes
4130-MZLCC,50.55,244.75,5,No,Month-to-month,DSL,Bank transfer (automatic),No
0314-TKOSI,55.15,322.9,6,No,Month-to-month,DSL,Mailed check,No
8229-MYEJZ,51.2,498.25,10,No,Month-to-month,DSL,Electronic check,No
2080-SRCDE,25.4,25.4,1,No,Month-to-month,No,Mailed check,No
9577-WJVCQ,54.45,3687.75,68,No,Month-to-month,DSL,Mailed check,No
9512-UIBFX,95.15,1779.95,18,Yes,Month-to-month,Fiber optic,Mailed check,No
6202-DYYFX,76.0,1783.6,22,No,One year,Fiber optic,Credit card (automatic),Yes
3808-HFKDE,44.35,927.15,20,No,Month-to-month,DSL,Electronic check,Yes
5583-SXDAG,70.0,70.0,1,Yes,Month-to-month,Fiber optic,Electronic check,No
3488-PGMQJ,74.5,606.55,8,Yes,Month-to-month,Fiber optic,Electronic check,Yes
3580-REOAC,44.85,435.4,10,Yes,Month-to-month,DSL,Credit card (automatic),Yes
7534-BFESC,76.1,1712.7,24,Yes,Month-to-month,Fiber optic,Electronic check,Yes
3727-OWVYD,61.2,2021.2,35,No,One year,DSL,Mailed check,No
2294-SALNE,86.8,1940.8,23,No,One year,Fiber optic,Mailed check,No
4847-TAJYI,89.35,567.8,6,No,Month-to-month,Fiber optic,Electronic check,Yes
1563-IWQEX,19.7,220.35,12,No,Month-to-month,No,Mailed check,No
8203-XJZRC,20.25,20.25,1,No,Month-to-month,No,Mailed check,No
6556-DBKZF,76.05,5436.45,71,No,Two year,Fiber optic,Electronic check,No
6851-WEFYX,100.8,3437.5,35,No,Month-to-month,Fiber optic,Electronic check,Yes
2985-JUUBZ,74.55,3015.75,40,No,Month-to-month,DSL,Electronic check,Yes
6390-DSAZX,73.6,73.6,1,Yes,Month-to-month,Fiber optic,Mailed check,Yes
0895-LMRSF,64.9,1509.8,23,No,One year,DSL,Bank transfer (automatic),Yes
8098-LLAZX,95.45,396.1,4,Yes,Month-to-month,Fiber optic,Electronic check,Yes
8266-VBFQL,90.4,356.65,4,No,Month-to-month,Fiber optic,Electronic check,Yes
8181-YHCMF,60.3,4109.0,68,No,Two year,DSL,Credit card (automatic),No
2240-HSJQD,81.85,3141.7,38,No,Month-to-month,Fiber optic,Mailed check,Yes
1248-DYXUB,24.8,1229.1,52,No,Two year,No,Mailed check,No
0265-EDXBD,74.9,2303.35,32,Yes,Month-to-month,Fiber optic,Electronic check,Yes
4115-BNPJY,75.55,2054.4,29,No,Two year,DSL,Mailed check,No
3167-SNQPL,101.15,3741.85,38,No,Month-to-month,Fiber optic,Electronic check,No
4091-TVOCN,78.75,3682.45,48,No,One year,DSL,Credit card (automatic),Yes
1098-TDVUQ,19.25,19.25,1,No,Month-to-month,No,Bank transfer (automatic),Yes
7277-OZCGZ,89.05,1886.25,22,No,Month-to-month,Fiber optic,Electronic check,Yes
1557-EMYVT,115.05,4895.1,43,No,Two year,Fiber optic,Credit card (automatic),No
2799-ARNLO,69.35,341.6,5,No,Month-to-month,Fiber optic,Electronic check,Yes
7563-BIUPC,80.6,415.55,5,Yes,Month-to-month,Fiber optic,Electronic check,Yes
5027-YOCXN,110.05,5686.4,51,No,One year,Fiber optic,Credit card (automatic),No
3973-SKMLN,19.9,1355.1,71,No,Two year,No,Credit card (automatic),Yes
2321-OMBXY,80.3,3058.65,38,Yes,One year,DSL,Credit card (automatic),No
2840-XANRC,93.15,2231.05,24,Yes,Month-to-month,Fiber optic,Electronic check,Yes
