customerID,InternetService,Churn,tenure,MonthlyCharges,TotalCharges
4811-JBUVU,Fiber optic,No,30,89.9,2723.15
0945-TSONX,DSL,No,47,85.3,4107.25
2651-ZCBXV,Fiber optic,No,54,108.0,5760.65
3316-UWXUY,Fiber optic,No,50,93.5,4747.5
8937-RDTHP,Fiber optic,Yes,1,84.6,84.6
7083-MIOPC,No,No,72,20.25,1566.9
1984-GPTEH,No,No,29,25.15,702.0
1251-KRREG,DSL,Yes,2,54.4,114.1
0621-JFHOL,DSL,No,10,29.6,299.05
9903-LYSAB,Fiber optic,No,18,73.15,1305.95
0094-OIFMO,Fiber optic,Yes,11,95.0,1120.3
9227-UAQFT,No,No,16,19.75,284.35
7301-ABVAD,DSL,No,72,86.6,6350.5
6614-FHDBO,Fiber optic,No,72,109.2,7878.3
7576-ASEJU,DSL,No,41,74.7,3187.65
9058-HRZSV,Fiber optic,No,65,94.4,6126.15
4522-AKYLR,DSL,No,13,54.8,731.3
0221-WMXNQ,Fiber optic,No,4,75.35,273.4
0303-UNCIP,DSL,No,41,65.0,2531.8
9947-OTFQU,Fiber optic,Yes,15,74.4,1074.3
0322-YINQP,DSL,Yes,1,48.55,48.55
0959-WHOKV,Fiber optic,No,42,99.0,4298.45
4075-JFPGR,Fiber optic,No,51,93.5,4619.55
4629-NRXKX,Fiber optic,Yes,2,70.4,147.15
9514-JDSKI,DSL,Yes,1,40.2,40.2
3282-ZISZV,DSL,No,32,83.7,2633.3
3675-YDUPJ,No,No,10,19.85,193.05
4111-BNXIF,DSL,No,67,59.55,4103.9
7017-VFHAY,Fiber optic,No,61,115.1,7008.15
6655-LHBYW,Fiber optic,No,50,114.35,5791.1
4959-JOSRX,DSL,Yes,2,44.6,80.55
5046-NUHWD,DSL,No,29,45.0,1228.65
7273-TEFQD,DSL,Yes,3,41.15,132.2
3606-TWKGI,Fiber optic,Yes,13,106.9,1364.3
7529-ZDFXI,Fiber optic,No,57,89.85,4925.35
7605-BDWDC,DSL,No,31,49.85,1520.1
1950-KSVVJ,Fiber optic,No,45,113.3,5032.25
0123-CRBRT,DSL,No,61,88.1,5526.75
6292-TOSSS,No,No,50,24.9,1195.25
3197-ARFOY,Fiber optic,No,19,105.0,2007.25
6323-AYBRX,No,Yes,59,19.35,1099.6
7014-ZZXAW,No,No,71,24.25,1732.95
4385-GZQXV,Fiber optic,Yes,16,94.45,1511.2
7633-MVPUY,DSL,No,57,59.75,3450.15
6366-ZGQGL,DSL,Yes,1,24.8,24.8
4716-HHKQH,Fiber optic,No,20,107.05,2172.05
5940-AHUHD,Fiber optic,Yes,1,70.6,70.6
6432-TWQLB,Fiber optic,Yes,5,85.4,401.1
4484-GLZOU,Fiber optic,Yes,52,105.05,5624.85
3179-GBRWV,DSL,No,21,64.95,1339.8
8645-KWHJO,DSL,No,14,55.0,771.95
4130-MZLCC,DSL,No,5,50.55,244.75
0314-TKOSI,DSL,No,6,55.15,322.9
8229-MYEJZ,DSL,No,10,51.2,498.25
2080-SRCDE,No,No,1,25.4,25.4
9577-WJVCQ,DSL,No,68,54.45,3687.75
9512-UIBFX,Fiber optic,Yes,18,95.15,1779.95
6202-DYYFX,Fiber optic,No,22,76.0,1783.6
3808-HFKDE,DSL,No,20,44.35,927.15
5583-SXDAG,Fiber optic,Yes,1,70.0,70.0
3488-PGMQJ,Fiber optic,Yes,8,74.5,606.55
3580-REOAC,DSL,Yes,10,44.85,435.4
7534-BFESC,Fiber optic,Yes,24,76.1,1712.7
3727-OWVYD,DSL,No,35,61.2,2021.2
2294-SALNE,Fiber optic,No,23,86.8,1940.8
4847-TAJYI,Fiber optic,No,6,89.35,567.8
1563-IWQEX,No,No,12,19.7,220.35
8203-XJZRC,No,No,1,20.25,20.25
6556-DBKZF,Fiber optic,No,71,76.05,5436.45
6851-WEFYX,Fiber optic,No,35,100.8,3437.5
2985-JUUBZ,DSL,No,40,74.55,3015.75
6390-DSAZX,Fiber optic,Yes,1,73.6,73.6
0895-LMRSF,DSL,No,23,64.9,1509.8
8098-LLAZX,Fiber optic,Yes,4,95.45,396.1
8266-VBFQL,Fiber optic,No,4,90.4,356.65
8181-YHCMF,DSL,No,68,60.3,4109.0
2240-HSJQD,Fiber optic,No,38,81.85,3141.7
1248-DYXUB,No,No,52,24.8,1229.1
0265-EDXBD,Fiber optic,Yes,32,74.9,2303.35
4115-BNPJY,DSL,No,29,75.55,2054.4
3167-SNQPL,Fiber optic,No,38,101.15,3741.85
4091-TVOCN,DSL,No,48,78.75,3682.45
1098-TDVUQ,No,No,1,19.25,19.25
7277-OZCGZ,Fiber optic,No,22,89.05,1886.25
1557-EMYVT,Fiber optic,No,43,115.05,4895.1
2799-ARNLO,Fiber optic,No,5,69.35,341.6
7563-BIUPC,Fiber optic,Yes,5,80.6,415.55
5027-YOCXN,Fiber optic,No,51,110.05,5686.4
3973-SKMLN,No,No,71,19.9,1355.1
2321-OMBXY,DSL,Yes,38,80.3,3058.65
2840-XANRC,Fiber optic,Yes,24,93.15,2231.05
6745-JEFZB,Fiber optic,No,35,91.5,3236.35
5020-ZSTTY,DSL,Yes,54,82.45,4350.1
9880-TDQAC,DSL,No,72,60.0,4264.0
8705-WZCYL,DSL,No,1,44.8,44.8
7102-JJVTX,DSL,No,9,48.6,422.3
8626-PTQGE,DSL,No,69,60.05,4176.7
4983-CLMLV,Fiber optic,No,52,102.7,5138.1
5701-YVSVF,Fiber optic,No,11,82.9,880.05
5804-LEPIM,Fiber optic,Yes,2,70.35,139.05
5697-GOMBF,DSL,No,28,35.9,973.65
2739-CACDQ,Fiber optic,No,17,82.65,1470.05
9385-EHGDO,No,No,35,19.85,739.35
9498-FIMXL,No,No,8,19.2,161.95
2379-GYFLQ,Fiber optic,No,46,94.9,4422.95
0122-OAHPZ,Fiber optic,Yes,7,73.85,511.25
2868-SNELZ,Fiber optic,Yes,2,80.6,155.8
4322-RCYMT,DSL,Yes,68,75.8,5293.95
6680-NENYN,Fiber optic,Yes,43,104.6,4759.85
2088-IEBAU,DSL,No,68,88.15,6148.45
7982-VCELR,Fiber optic,No,36,94.8,3565.65
1343-EHPYB,Fiber optic,Yes,63,103.4,6603.0
6035-BXTTY,DSL,No,32,54.65,1830.1
6885-PKOAM,DSL,No,71,85.75,6223.8
7520-HQWJU,DSL,No,66,67.45,4508.65
9639-BUJXT,No,No,63,20.5,1328.15
5924-SNGKP,No,No,41,20.25,865.0
0021-IKXGC,Fiber optic,No,1,72.1,72.1
2034-GDRCN,Fiber optic,Yes,2,90.4,168.2
8966-SNIZF,No,No,70,19.45,1303.5
6243-OZGFH,DSL,No,23,44.95,996.85
4654-DLAMQ,Fiber optic,No,64,97.0,6430.9
0513-RBGPE,DSL,No,37,62.8,2278.75
5160-UXJED,DSL,No,17,44.6,681.4
4115-NZRKS,Fiber optic,No,7,89.15,574.35
0219-YTZUE,Fiber optic,Yes,4,84.8,371.9
0623-IIHUG,DSL,Yes,21,41.9,840.1
4572-DVCGN,Fiber optic,Yes,10,80.25,846.0
3351-NGXYI,DSL,No,16,54.1,889.0
8984-EYLLL,Fiber optic,No,64,105.25,6823.4
9057-MSWCO,DSL,Yes,27,30.75,805.1
9833-TGFHX,Fiber optic,No,42,97.1,4016.75
9294-TDIPC,No,No,5,20.2,83.75
5229-DTFYB,Fiber optic,No,41,98.8,3959.15
0104-PPXDV,DSL,No,58,50.3,2878.55
5176-LMJXE,No,No,47,20.55,945.7
3583-KRKMD,Fiber optic,No,18,75.9,1373.05
1010-DIAUQ,Fiber optic,Yes,5,96.5,492.55
9069-LGEUL,DSL,No,23,59.95,1406.0
7302-ZHMHP,No,No,1,19.15,19.15
9571-EDEBV,Fiber optic,No,71,98.65,6962.85
3520-FJGCV,Fiber optic,No,72,112.6,8126.65
6563-VRERX,No,No,33,20.6,690.25
0259-GBZSH,Fiber optic,Yes,2,85.65,181.5
6122-EFVKN,DSL,No,24,35.75,830.8
2805-EDJPQ,Fiber optic,No,56,99.75,5608.4
6862-CQUMB,Fiber optic,No,37,96.1,3646.8
7156-MXBJE,DSL,No,43,85.1,3662.25
6158-HDPXZ,DSL,No,1,25.35,25.35
9601-BRXPO,Fiber optic,Yes,25,104.95,2566.5
2863-IMQDR,DSL,No,61,89.65,5308.7
5686-CMAWK,Fiber optic,No,17,86.75,1410.25
5651-CRHKQ,Fiber optic,No,41,86.2,3339.05
6905-NIQIN,DSL,Yes,1,50.65,50.65
8204-YJCLA,DSL,No,72,64.8,4732.35
5167-ZFFMM,Fiber optic,Yes,1,90.85,90.85
6583-SZVGP,Fiber optic,No,48,108.1,5067.45
4895-TMWIR,No,Yes,11,19.95,214.75
0533-BNWKF,Fiber optic,Yes,55,85.45,4874.7
1708-PBBOA,DSL,No,42,54.75,2348.45
8782-LKFPK,Fiber optic,No,44,90.4,4063.0
5522-JBWMO,DSL,No,1,44.0,44.0
3597-MVHJT,Fiber optic,No,27,95.6,2595.25
9774-NRNAU,DSL,No,27,84.8,2309.55
0224-RLWWD,DSL,No,2,44.3,89.3
9967-ATRFS,No,No,19,19.9,367.55
3951-NJCVI,Fiber optic,No,42,95.05,3944.5
2977-CEBSX,DSL,No,66,90.05,5965.95
0177-PXBAT,Fiber optic,No,33,109.9,3694.7
6599-CEBNN,Fiber optic,Yes,34,73.95,2524.45
2519-ERQOJ,DSL,No,33,54.6,1803.7
5876-QMYLD,No,No,23,20.05,415.1
2277-AXSDC,No,No,32,19.75,624.15
9442-JTWDL,No,No,11,20.05,237.7
0979-PHULV,Fiber optic,Yes,69,99.45,7007.6
3067-SVMTC,DSL,No,68,55.9,3848.8
5495-GPSRW,No,No,20,19.7,419.4
7606-BPHHN,No,No,72,19.8,1468.75
4742-DRORA,Fiber optic,No,60,95.4,5812.0
0111-KLBQG,Fiber optic,No,32,93.95,2861.45
4800-VHZKI,No,Yes,1,19.9,19.9
7989-CHGTL,No,Yes,1,19.6,19.6
0334-GDDSO,Fiber optic,Yes,3,81.35,233.7
4163-NCJAK,No,No,46,24.45,1066.15
5233-AOZUF,Fiber optic,No,29,74.95,2149.05
5973-EJGDP,Fiber optic,No,51,87.35,4473.0
1996-DBMUS,Fiber optic,No,48,70.65,3545.05
7916-VCCPB,Fiber optic,No,16,73.25,1195.75
4686-GEFRM,Fiber optic,No,70,98.7,6858.9
5249-QYHEX,No,No,40,24.8,1024.7
0578-SKVMF,Fiber optic,Yes,22,83.3,1845.9
5564-NEMQO,Fiber optic,Yes,1,75.3,75.3
2233-FAGXV,No,No,5,24.3,132.25
5605-IYGFG,Fiber optic,No,7,69.85,515.45
7663-ZTEGJ,Fiber optic,No,29,100.55,2830.45
3935-TBRZZ,No,No,44,25.7,1110.5
8111-BKVDS,DSL,No,10,40.7,449.3
2055-SIFSS,DSL,No,55,51.65,2838.55
2806-MLNTI,Fiber optic,No,52,105.1,5376.4
8734-DKSTZ,Fiber optic,No,10,85.95,858.6
4360-PNRQB,Fiber optic,No,18,75.6,1395.05
6152-ONASV,DSL,No,68,58.25,3975.7
9063-ZGTUY,No,Yes,61,19.4,1182.55
7781-HVGMK,DSL,No,72,65.2,4784.45
2181-UAESM,DSL,No,2,53.45,119.5
2957-LOLHO,DSL,Yes,12,45.4,518.9
6048-NJXHX,No,No,41,19.75,899.45
2320-SLKMB,DSL,No,26,44.45,1183.8
4980-URKXC,No,No,36,20.85,720.05
4376-KFVRS,Fiber optic,No,72,114.05,8468.2
5886-VLQVU,Fiber optic,No,35,89.85,3161.2
3577-AMVUX,DSL,No,1,55.05,55.05
0771-WLCLA,Fiber optic,No,16,112.95,1882.55
5628-RKIFK,Fiber optic,No,49,101.55,5070.4
0206-TBWLC,Fiber optic,No,54,114.65,6049.5
2937-FTHUR,DSL,No,18,64.8,1166.7
1910-FMXJM,Fiber optic,No,36,80.4,2937.65
7752-XUSCI,Fiber optic,Yes,60,105.9,6396.45
4110-PFEUZ,Fiber optic,Yes,1,69.55,69.55
0732-OCQOC,No,No,52,25.05,1270.25
5168-MSWXT,Fiber optic,No,8,94.75,759.55
1090-ESELR,Fiber optic,No,72,105.5,7611.55
8592-PLTMQ,No,No,64,24.7,1642.75
5760-WRAHC,DSL,No,22,69.75,1545.4
8847-GEOOQ,DSL,No,60,60.2,3582.4
0256-LTHVJ,Fiber optic,Yes,28,81.05,2227.1
4785-FCIFB,No,No,61,24.4,1417.9
8313-NDOIA,Fiber optic,No,24,104.15,2494.65
5149-CUZUJ,Fiber optic,No,28,92.9,2768.35
0942-KOWSM,DSL,No,30,80.8,2369.3
4237-CLSMM,No,No,2,20.0,38.0
1452-VOQCH,Fiber optic,No,1,75.1,75.1
4719-UMSIY,No,No,6,19.65,100.9
6614-VBEGU,DSL,No,24,69.45,1614.05
0880-TKATG,Fiber optic,Yes,4,101.15,385.9
3811-VBYBZ,Fiber optic,Yes,7,99.8,673.25
1480-BKXGA,Fiber optic,No,72,116.05,8404.9
2996-XAUVF,DSL,No,70,40.05,2799.75
9076-AXYIK,Fiber optic,No,64,102.1,6538.45
5968-XQIVE,Fiber optic,No,72,89.7,6588.95
8896-RAZCR,No,No,44,19.9,868.1
4640-UHDOS,DSL,Yes,13,55.95,734.35
4933-IKULF,No,No,17,20.65,330.6
3583-EKAPL,DSL,Yes,1,55.0,55.0
1304-BCCFO,DSL,No,9,70.05,564.4
4104-PVRPS,DSL,No,24,53.6,1315.35
9399-APLBT,Fiber optic,Yes,1,74.7,74.7
2359-KMGLI,Fiber optic,Yes,24,80.25,1861.5
3780-DDGSE,DSL,No,35,76.05,2747.2
4431-EDMIQ,DSL,No,7,75.7,554.05
0306-JAELE,Fiber optic,Yes,5,96.1,453.4
6227-HWPWX,Fiber optic,Yes,15,69.0,994.8
0486-LGCCH,No,No,11,19.65,225.75
0447-BEMNG,DSL,Yes,48,45.3,2145.0
4612-SSVHJ,Fiber optic,No,20,81.45,1671.6
5168-MQQCA,Fiber optic,No,72,108.5,8003.8
5949-XIKAE,Fiber optic,Yes,8,83.55,680.05
7971-HLVXI,Fiber optic,No,72,84.5,6130.85
9094-AZPHK,Fiber optic,No,15,100.15,1415.0
3649-JPUGY,DSL,No,72,88.6,6201.95
8372-JUXUI,Fiber optic,Yes,1,74.35,74.35
3552-CTCYF,Fiber optic,No,63,104.8,6597.25
6778-YSNIH,DSL,No,2,59.0,114.15
0388-EOPEX,Fiber optic,Yes,2,74.4,139.4
5756-OZRIO,DSL,No,61,64.05,3902.6
6579-JPICP,No,No,1,20.4,20.4
8205-OTCHB,DSL,Yes,22,43.75,903.6
4134-BSXLX,DSL,No,28,60.9,1785.65
0505-SPOOW,No,No,70,19.8,1397.65
6235-VDHOM,DSL,Yes,5,28.45,131.05
7783-YKGDV,Fiber optic,Yes,12,99.7,1238.45
4374-YMUSQ,Fiber optic,No,34,116.25,3899.05
4513-CXYIX,Fiber optic,No,71,80.7,5676.0
3957-HHLMR,DSL,No,70,65.2,4543.15
7803-XOCCZ,Fiber optic,No,52,84.05,4326.8
5736-YEJAX,DSL,No,69,79.45,5502.55
5609-CEBID,Fiber optic,Yes,20,94.1,1782.4
8981-FJGLA,Fiber optic,No,11,78.0,851.8
7218-HKQFK,Fiber optic,Yes,2,94.2,167.5
4636-QRJKY,Fiber optic,Yes,6,80.5,502.85
1135-LMECX,No,No,1,19.85,19.85
4332-MUOEZ,Fiber optic,No,20,94.3,1818.3
8535-SFUTN,Fiber optic,No,61,106.45,6300.15
5956-VKDTT,Fiber optic,Yes,5,74.35,334.8
