Contract,tenure,MonthlyCharges,Churn
Month-to-month,6,20.7,No
Month-to-month,3,74.4,Yes
Month-to-month,7,50.7,No
Month-to-month,4,20.85,No
Two year,33,88.95,No
Month-to-month,27,78.05,Yes
Two year,72,23.55,No
Month-to-month,1,19.75,No
One year,71,56.45,No
Month-to-month,13,85.95,No
Month-to-month,25,58.6,Yes
Two year,67,50.55,No
Month-to-month,1,35.45,Yes
Month-to-month,2,44.35,Yes
Two year,43,25.7,No
Month-to-month,23,75.0,No
Two year,64,20.2,No
Two year,57,19.6,No
Month-to-month,1,70.45,Yes
Two year,72,88.05,No
Month-to-month,8,71.15,Yes
Two year,61,101.05,No
One year,64,84.3,No
Two year,71,23.95,No
Two year,65,99.05,No
One year,3,19.6,No
Month-to-month,1,45.65,Yes
One year,30,64.5,No
Month-to-month,15,69.5,No
Month-to-month,8,68.55,No
Month-to-month,7,95.0,Yes
One year,70,108.15,No
Two year,62,86.1,No
Month-to-month,6,19.7,No
Month-to-month,14,80.9,No
Month-to-month,22,84.15,No
One year,22,20.15,No
Two year,16,64.25,No
Two year,10,25.7,No
Month-to-month,13,56.0,No
Month-to-month,20,82.4,Yes
Month-to-month,2,69.7,No
Two year,53,73.9,No
One year,11,20.6,No
Two year,69,19.9,No
Month-to-month,4,70.9,Yes
Two year,72,89.05,No
Month-to-month,58,45.3,Yes
Month-to-month,16,20.4,No
One year,43,84.25,No
Month-to-month,2,104.4,Yes
Two year,14,81.95,No
One year,53,94.85,Yes
One year,32,20.55,No
Month-to-month,34,24.7,No
Month-to-month,15,74.45,Yes
Month-to-month,7,76.45,Yes
Month-to-month,15,105.35,No
One year,61,20.55,No
Month-to-month,1,29.95,Yes
Month-to-month,1,45.3,No
Month-to-month,8,84.5,Yes
One year,33,74.75,No
Month-to-month,13,79.25,Yes
Month-to-month,1,24.8,Yes
Month-to-month,20,51.8,No
Month-to-month,3,30.4,No
One year,13,19.65,No
Month-to-month,40,56.6,No
One year,43,71.9,No
Month-to-month,6,91.0,Yes
Two year,69,19.75,No
Two year,72,109.7,No
Two year,59,19.3,No
Month-to-month,20,96.55,No
Two year,24,24.1,No
Month-to-month,59,111.35,No
Two year,72,112.25,No
Month-to-month,1,20.75,No
One year,27,101.9,No
Month-to-month,14,80.05,No
Two year,71,105.55,No
Month-to-month,13,78.3,No
Month-to-month,44,68.85,No
One year,33,79.95,No
Two year,72,55.45,No
Month-to-month,1,79.9,Yes
Month-to-month,19,106.6,Yes
One year,64,102.45,No
Month-to-month,2,46.0,Yes
Month-to-month,1,25.25,No
Two year,61,19.75,No
One year,29,20.0,No
Month-to-month,23,86.8,No
Month-to-month,57,58.75,No
Two year,72,45.25,No
Two year,66,56.6,No
Two year,65,84.2,No
Month-to-month,8,80.0,No
Month-to-month,4,70.15,Yes
Two year,71,24.75,No
One year,1,20.2,No
Month-to-month,4,50.05,Yes
One year,12,19.35,No
One year,24,50.6,No
One year,31,81.15,No
Month-to-month,1,55.2,Yes
Month-to-month,30,89.9,No
Two year,47,85.3,No
Two year,54,108.0,No
Month-to-month,50,93.5,No
Month-to-month,1,84.6,Yes
Two year,72,20.25,No
Month-to-month,29,25.15,No
Month-to-month,2,54.4,Yes
Two year,10,29.6,No
Month-to-month,18,73.15,No
Month-to-month,11,95.0,Yes
Two year,16,19.75,No
Two year,72,86.6,No
Two year,72,109.2,No
One year,41,74.7,No
Month-to-month,65,94.4,No
Month-to-month,13,54.8,No
Month-to-month,4,75.35,No
One year,41,65.0,No
Month-to-month,15,74.4,Yes
Month-to-month,1,48.55,Yes
One year,42,99.0,No
One year,51,93.5,No
Month-to-month,2,70.4,Yes
Month-to-month,1,40.2,Yes
One year,32,83.7,No
Month-to-month,10,19.85,No
Two year,67,59.55,No
Two year,61,115.1,No
One year,50,114.35,No
Month-to-month,2,44.6,Yes
Month-to-month,29,45.0,No
Month-to-month,3,41.15,Yes
Month-to-month,13,106.9,Yes
Month-to-month,57,89.85,No
Two year,31,49.85,No
One year,45,113.3,No
Two year,61,88.1,No
Two year,50,24.9,No
Month-to-month,19,105.0,No
Two year,59,19.35,Yes
Two year,71,24.25,No
Month-to-month,16,94.45,Yes
Two year,57,59.75,No
Month-to-month,1,24.8,Yes
Month-to-month,20,107.05,No
Month-to-month,1,70.6,Yes
Month-to-month,5,85.4,Yes
Month-to-month,52,105.05,Yes
Month-to-month,21,64.95,No
Month-to-month,14,55.0,No
Month-to-month,5,50.55,No
Month-to-month,6,55.15,No
Month-to-month,10,51.2,No
Month-to-month,1,25.4,No
Month-to-month,68,54.45,No
Month-to-month,18,95.15,Yes
One year,22,76.0,No
Month-to-month,20,44.35,No
Month-to-month,1,70.0,Yes
Month-to-month,8,74.5,Yes
Month-to-month,10,44.85,Yes
Month-to-month,24,76.1,Yes
One year,35,61.2,No
One year,23,86.8,No
Month-to-month,6,89.35,No
Month-to-month,12,19.7,No
Month-to-month,1,20.25,No
Two year,71,76.05,No
Month-to-month,35,100.8,No
Month-to-month,40,74.55,No
Month-to-month,1,73.6,Yes
One year,23,64.9,No
Month-to-month,4,95.45,Yes
Month-to-month,4,90.4,No
Two year,68,60.3,No
Month-to-month,38,81.85,No
Two year,52,24.8,No
Month-to-month,32,74.9,Yes
Two year,29,75.55,No
Month-to-month,38,101.15,No
One year,48,78.75,No
Month-to-month,1,19.25,No
Month-to-month,22,89.05,No
Two year,43,115.05,No
Month-to-month,5,69.35,No
Month-to-month,5,80.6,Yes
One year,51,110.05,No
Two year,71,19.9,No
One year,38,80.3,Yes
Month-to-month,24,93.15,Yes
Month-to-month,35,91.5,No
One year,54,82.45,Yes
Two year,72,60.0,No
Month-to-month,1,44.8,No
One year,9,48.6,No
Two year,69,60.05,No
Month-to-month,52,102.7,No
Month-to-month,11,82.9,No
Month-to-month,2,70.35,Yes
Month-to-month,28,35.9,No
Month-to-month,17,82.65,No
Two year,35,19.85,No
One year,8,19.2,No
One year,46,94.9,No
Month-to-month,7,73.85,Yes
Month-to-month,2,80.6,Yes
One year,68,75.8,Yes
Two year,43,104.6,Yes
Two year,68,88.15,No
Month-to-month,36,94.8,No
Month-to-month,63,103.4,Yes
Month-to-month,32,54.65,No
Two year,71,85.75,No
Month-to-month,66,67.45,No
One year,63,20.5,No
One year,41,20.25,No
Month-to-month,1,72.1,No
Month-to-month,2,90.4,Yes
Two year,70,19.45,No
Month-to-month,23,44.95,No
One year,64,97.0,No
Two year,37,62.8,No
One year,17,44.6,No
Month-to-month,7,89.15,No
Month-to-month,4,84.8,Yes
Month-to-month,21,41.9,Yes
Month-to-month,10,80.25,Yes
Month-to-month,16,54.1,No
Two year,64,105.25,No
Month-to-month,27,30.75,Yes
One year,42,97.1,No
Month-to-month,5,20.2,No
Two year,41,98.8,No
One year,58,50.3,No
Two year,47,20.55,No
Month-to-month,18,75.9,No
Month-to-month,5,96.5,Yes
Month-to-month,23,59.95,No
Month-to-month,1,19.15,No
One year,71,98.65,No
Two year,72,112.6,No
One year,33,20.6,No
Month-to-month,2,85.65,Yes
Two year,24,35.75,No
One year,56,99.75,No
Month-to-month,37,96.1,No
One year,43,85.1,No
Month-to-month,1,25.35,No
Month-to-month,25,104.95,Yes
Two year,61,89.65,No
One year,17,86.75,No
One year,41,86.2,No
Month-to-month,1,50.65,Yes
Two year,72,64.8,No
Month-to-month,1,90.85,Yes
Two year,48,108.1,No
Month-to-month,11,19.95,Yes
Month-to-month,55,85.45,Yes
One year,42,54.75,No
Month-to-month,44,90.4,No
Month-to-month,1,44.0,No
Month-to-month,27,95.6,No
Month-to-month,27,84.8,No
Month-to-month,2,44.3,No
Month-to-month,19,19.9,No
Month-to-month,42,95.05,No
Two year,66,90.05,No
Month-to-month,33,109.9,No
Month-to-month,34,73.95,Yes
Month-to-month,33,54.6,No
One year,23,20.05,No
One year,32,19.75,No
One year,11,20.05,No
Month-to-month,69,99.45,Yes
One year,68,55.9,No
Two year,20,19.7,No
Two year,72,19.8,No
One year,60,95.4,No
Month-to-month,32,93.95,No
Month-to-month,1,19.9,Yes
Month-to-month,1,19.6,Yes
Month-to-month,3,81.35,Yes
One year,46,24.45,No
Month-to-month,29,74.95,No
Month-to-month,51,87.35,No
Month-to-month,48,70.65,No
Month-to-month,16,73.25,No
Two year,70,98.7,No
Two year,40,24.8,No
Month-to-month,22,83.3,Yes
Month-to-month,1,75.3,Yes
Month-to-month,5,24.3,No
Month-to-month,7,69.85,No
One year,29,100.55,No
One year,44,25.7,No
Month-to-month,10,40.7,No
Month-to-month,55,51.65,No
One year,52,105.1,No
Month-to-month,10,85.95,No
Month-to-month,18,75.6,No
One year,68,58.25,No
Month-to-month,61,19.4,Yes
Two year,72,65.2,No
Month-to-month,2,53.45,No
Month-to-month,12,45.4,Yes
Two year,41,19.75,No
Month-to-month,26,44.45,No
One year,36,20.85,No
Two year,72,114.05,No
Month-to-month,35,89.85,No
Month-to-month,1,55.05,No
Month-to-month,16,112.95,No
Month-to-month,49,101.55,No
One year,54,114.65,No
Month-to-month,18,64.8,No
Month-to-month,36,80.4,No
Month-to-month,60,105.9,Yes
Month-to-month,1,69.55,Yes
Two year,52,25.05,No
Month-to-month,8,94.75,No
Two year,72,105.5,No
One year,64,24.7,No
Month-to-month,22,69.75,No
Month-to-month,60,60.2,No
Month-to-month,28,81.05,Yes
Two year,61,24.4,No
Month-to-month,24,104.15,No
One year,28,92.9,No
Two year,30,80.8,No
Month-to-month,2,20.0,No
Month-to-month,1,75.1,No
Month-to-month,6,19.65,No
Month-to-month,24,69.45,No
Month-to-month,4,101.15,Yes
Month-to-month,7,99.8,Yes
Two year,72,116.05,No
Two year,70,40.05,No
Two year,64,102.1,No
One year,72,89.7,No
Two year,44,19.9,No
Month-to-month,13,55.95,Yes
One year,17,20.65,No
Month-to-month,1,55.0,Yes
Month-to-month,9,70.05,No
Month-to-month,24,53.6,No
Month-to-month,1,74.7,Yes
Month-to-month,24,80.25,Yes
Month-to-month,35,76.05,No
Month-to-month,7,75.7,No
Month-to-month,5,96.1,Yes
Month-to-month,15,69.0,Yes
Two year,11,19.65,No
Month-to-month,48,45.3,Yes
Month-to-month,20,81.45,No
One year,72,108.5,No
Month-to-month,8,83.55,Yes
Two year,72,84.5,No
Month-to-month,15,100.15,No
Two year,72,88.6,No
Month-to-month,1,74.35,Yes
Two year,63,104.8,No
Month-to-month,2,59.0,No
Month-to-month,2,74.4,Yes
One year,61,64.05,No
Month-to-month,1,20.4,No
One year,22,43.75,Yes
Month-to-month,28,60.9,No
Two year,70,19.8,No
Month-to-month,5,28.45,Yes
Month-to-month,12,99.7,Yes
One year,34,116.25,No
Two year,71,80.7,No
One year,70,65.2,No
Month-to-month,52,84.05,No
Two year,69,79.45,No
Month-to-month,20,94.1,Yes
Month-to-month,11,78.0,No
Month-to-month,2,94.2,Yes
Month-to-month,6,80.5,Yes
Month-to-month,1,19.85,No
One year,20,94.3,No
Month-to-month,61,106.45,No
Month-to-month,5,74.35,Yes
Month-to-month,56,105.45,No
Month-to-month,30,95.0,No
Month-to-month,40,104.8,Yes
One year,28,54.3,No
Month-to-month,5,70.05,No
Month-to-month,27,75.2,Yes
Month-to-month,12,20.05,No
One year,67,105.4,No
Month-to-month,29,51.6,No
Month-to-month,55,85.5,No
Month-to-month,23,75.6,Yes
Month-to-month,34,100.05,Yes
One year,52,91.25,No
Two year,72,115.75,No
One year,58,94.7,No
Two year,35,19.6,No
Two year,56,99.9,No
Two year,24,21.1,No
Two year,70,20.05,No
Month-to-month,2,79.95,No
One year,68,107.15,No
Month-to-month,1,85.0,Yes
Month-to-month,12,89.55,No
Month-to-month,63,81.55,No
One year,33,58.45,No
One year,69,95.65,No
Two year,60,80.6,No
Two year,72,113.1,No
Month-to-month,11,58.95,No
Month-to-month,1,19.55,No
Month-to-month,10,86.05,Yes
Month-to-month,13,45.55,Yes
One year,34,78.95,No
Month-to-month,39,86.3,Yes
One year,65,105.05,No
One year,50,101.9,No
Month-to-month,15,19.75,No
Two year,72,110.3,No
Two year,72,115.6,No
Two year,55,19.35,No
Two year,23,25.6,No
Month-to-month,32,80.35,Yes
One year,56,68.75,No
Month-to-month,1,19.9,No
One year,38,70.6,No
Month-to-month,11,70.2,No
Month-to-month,1,49.3,No
One year,56,107.25,No
Month-to-month,3,23.6,No
Month-to-month,7,69.7,No
Two year,59,99.5,No
Month-to-month,7,64.3,No
Two year,71,70.85,No
One year,15,101.9,No
Two year,71,73.5,No
Month-to-month,35,100.25,Yes
One year,11,40.4,No
Two year,60,19.25,No
Two year,47,59.6,No
One year,11,64.9,No
One year,56,100.3,Yes
Month-to-month,28,110.85,No
Two year,61,81.05,No
One year,31,98.05,No
Month-to-month,9,70.5,No
Month-to-month,35,94.55,No
Month-to-month,2,19.65,No
Month-to-month,12,19.0,Yes
Month-to-month,1,75.3,Yes
Month-to-month,4,89.2,Yes
Month-to-month,1,19.0,No
Month-to-month,3,20.0,No
Month-to-month,1,85.7,Yes
Two year,52,63.25,No
One year,5,20.1,No
Two year,72,99.15,No
Two year,71,90.4,No
Two year,72,111.9,No
One year,46,24.9,No
Two year,63,83.5,No
Month-to-month,30,84.3,No
Month-to-month,1,45.6,No
Month-to-month,12,61.65,Yes
Two year,16,54.85,No
Month-to-month,4,65.55,No
One year,51,90.35,No
Two year,65,20.4,No
Month-to-month,16,74.55,No
One year,2,19.95,No
One year,66,74.25,No
Two year,46,108.65,No
One year,32,109.55,No
Two year,72,86.65,No
Two year,38,81.0,No
One year,51,47.85,No
Two year,72,114.55,No
Month-to-month,65,105.25,Yes
Month-to-month,9,29.95,Yes
Month-to-month,9,65.0,Yes
Two year,66,20.55,No
One year,44,109.8,No
Two year,50,69.5,No
Month-to-month,15,48.85,No
Month-to-month,8,25.25,No
One year,66,102.85,No
Month-to-month,57,87.55,No
Month-to-month,7,78.55,No
Month-to-month,10,34.55,No
One year,62,92.05,No
One year,40,85.05,No
Two year,20,19.7,No
Month-to-month,7,20.0,Yes
Month-to-month,25,95.15,No
Month-to-month,23,84.25,No
One year,66,104.6,No
Two year,72,111.65,No
Month-to-month,49,90.05,Yes
Month-to-month,43,110.75,Yes
Month-to-month,46,55.0,No
Two year,72,89.85,No
One year,10,20.35,No
One year,40,54.55,No
Month-to-month,65,105.5,Yes
Two year,31,99.45,No
Two year,68,70.9,No
One year,56,104.55,Yes
Month-to-month,10,85.25,Yes
Two year,68,25.4,No
Month-to-month,43,56.15,Yes
Month-to-month,1,89.55,Yes
One year,49,89.85,No
Month-to-month,15,25.25,No
Month-to-month,20,94.55,Yes
Month-to-month,1,45.7,Yes
One year,50,69.65,No
Month-to-month,2,89.5,Yes
Month-to-month,24,70.0,No
Month-to-month,3,69.55,Yes
Month-to-month,1,74.6,Yes
Two year,35,20.1,No
Month-to-month,17,24.8,No
Month-to-month,8,19.65,Yes
Month-to-month,10,95.1,No
Two year,68,88.85,No
One year,45,78.8,No
One year,2,19.85,Yes
Month-to-month,37,20.35,No
Month-to-month,4,24.25,Yes
Month-to-month,10,45.25,No
Month-to-month,1,20.05,No
Two year,65,69.55,No
Two year,57,19.5,No
Month-to-month,3,74.75,No
Month-to-month,2,69.65,Yes
Month-to-month,49,30.2,No
Month-to-month,4,45.65,Yes
Two year,70,57.8,No
One year,53,19.85,No
Two year,53,25.55,No
Month-to-month,1,75.05,Yes
Month-to-month,22,24.85,No
Month-to-month,52,49.15,Yes
Two year,65,110.35,No
One year,48,24.55,No
Month-to-month,2,34.7,Yes
Month-to-month,3,107.95,No
Month-to-month,45,81.4,No
Month-to-month,1,80.0,Yes
Two year,61,73.8,No
Month-to-month,3,64.4,No
One year,40,103.75,No
Month-to-month,1,71.1,No
Month-to-month,1,49.9,No
One year,51,24.6,No
Month-to-month,2,49.25,Yes
One year,52,30.1,No
Month-to-month,51,83.4,No
Month-to-month,1,20.45,No
One year,31,75.25,No
One year,47,20.55,No
Month-to-month,3,75.1,Yes
One year,22,20.05,No
Month-to-month,1,20.65,No
Two year,72,85.15,No
Month-to-month,3,50.15,Yes
One year,47,84.95,No
Two year,72,66.5,No
Two year,66,63.3,No
Month-to-month,35,83.15,No
Month-to-month,29,84.9,No
Month-to-month,2,20.55,No
Month-to-month,4,49.25,No
Month-to-month,25,79.85,Yes
Two year,65,59.6,No
One year,27,104.65,No
Month-to-month,29,75.3,No
Month-to-month,29,80.1,No
Month-to-month,1,19.55,Yes
Month-to-month,20,81.0,No
Two year,58,24.7,No
Month-to-month,14,86.0,No
Two year,72,25.4,No
Month-to-month,46,89.15,No
Two year,71,58.25,No
Month-to-month,32,85.65,No
Month-to-month,26,50.35,No
Month-to-month,68,80.35,No
One year,2,20.2,No
Two year,61,20.55,No
Month-to-month,4,85.95,Yes
Month-to-month,3,45.35,Yes
Month-to-month,33,94.5,Yes
Month-to-month,9,21.25,No
Two year,22,26.25,No
Month-to-month,5,80.85,No
Month-to-month,30,91.7,Yes
Two year,65,74.2,No
Month-to-month,45,87.25,Yes
Month-to-month,5,20.35,No
Month-to-month,25,75.5,No
Two year,72,79.05,No
Month-to-month,27,90.15,No
Month-to-month,32,50.6,No
One year,30,110.45,No
Two year,70,101.0,No
Month-to-month,42,79.35,No
Two year,72,89.85,No
Two year,47,65.0,No
Month-to-month,2,80.45,No
Month-to-month,10,98.55,Yes
Two year,61,24.1,No
Month-to-month,5,44.05,No
Two year,72,110.8,No
Two year,72,114.95,No
Month-to-month,3,75.05,No
Two year,48,19.25,No
One year,63,90.05,No
Month-to-month,27,56.7,No
Two year,70,80.15,No
Month-to-month,7,71.35,No
Month-to-month,2,90.35,No
Month-to-month,20,98.55,Yes
Two year,66,19.7,No
Month-to-month,3,19.85,No
Month-to-month,15,85.9,Yes
Two year,72,90.35,No
Month-to-month,1,20.8,No
Month-to-month,22,89.25,Yes
Month-to-month,3,70.3,Yes
Two year,72,66.85,No
Two year,65,19.9,No
Month-to-month,11,35.8,No
Month-to-month,22,78.85,No
One year,14,20.4,No
Month-to-month,41,74.25,No
One year,17,64.8,No
Month-to-month,11,20.45,No
Month-to-month,15,93.35,Yes
Month-to-month,1,19.9,Yes
Month-to-month,5,88.9,Yes
One year,33,95.8,Yes
Two year,72,110.65,No
Month-to-month,3,40.3,No
Month-to-month,2,82.0,Yes
One year,59,107.0,No
Month-to-month,2,45.35,Yes
Two year,71,73.35,No
Month-to-month,5,44.8,No
Month-to-month,27,54.75,No
Month-to-month,1,52.2,Yes
One year,63,40.6,No
One year,46,110.0,Yes
Two year,72,55.3,No
Month-to-month,34,60.85,No
One year,24,78.4,No
Two year,72,69.65,No
Two year,60,59.85,No
One year,68,76.9,No
Two year,8,19.85,No
Two year,34,67.65,No
Month-to-month,6,45.0,No
Month-to-month,2,64.2,No
One year,31,81.7,No
Month-to-month,20,25.55,No
Month-to-month,1,20.0,No
One year,62,96.75,Yes
Two year,70,75.65,No
Month-to-month,10,98.5,Yes
Two year,39,23.8,No
Two year,46,64.2,No
Month-to-month,6,85.35,Yes
Two year,72,76.8,No
Month-to-month,18,55.2,No
Two year,71,108.55,No
Month-to-month,40,101.3,Yes
Month-to-month,1,69.55,Yes
One year,58,103.25,Yes
Two year,70,104.0,Yes
Two year,42,25.25,No
One year,34,30.4,No
Month-to-month,5,20.05,No
Month-to-month,25,84.6,No
Month-to-month,2,86.2,Yes
One year,55,103.7,No
Month-to-month,21,111.2,Yes
Two year,70,88.0,No
Month-to-month,61,106.35,No
Two year,43,79.15,No
One year,47,103.1,No
Month-to-month,5,63.95,No
Two year,62,25.8,No
Month-to-month,16,89.45,Yes
Month-to-month,7,95.6,Yes
Month-to-month,14,25.55,No
One year,60,90.95,Yes
Month-to-month,34,44.85,No
One year,50,108.55,Yes
Two year,38,25.05,No
One year,70,74.1,No
Month-to-month,37,88.8,No
Month-to-month,4,78.85,Yes
Month-to-month,60,93.25,No
One year,62,71.4,No
Month-to-month,1,44.4,Yes
Month-to-month,36,79.2,No
Two year,44,20.4,No
One year,55,100.0,Yes
Two year,72,105.0,No
One year,12,19.8,Yes
Month-to-month,13,30.85,No
Month-to-month,1,89.9,Yes
One year,15,20.55,No
Two year,65,84.85,No
One year,12,33.15,No
Two year,72,92.0,No
Two year,72,89.8,No
Two year,72,115.8,No
Two year,52,85.15,No
Month-to-month,2,24.85,No
Month-to-month,5,64.35,No
Two year,68,20.5,No
One year,62,100.15,Yes
Two year,72,86.05,No
Month-to-month,1,50.8,Yes
One year,66,89.0,No
Two year,72,64.8,No
One year,26,19.8,No
Two year,64,93.4,No
Month-to-month,20,73.65,Yes
Month-to-month,3,95.1,Yes
Month-to-month,22,94.65,Yes
Month-to-month,4,80.6,Yes
Two year,62,39.0,No
Month-to-month,5,20.5,No
One year,59,85.55,Yes
Two year,3,26.4,No
Two year,72,98.2,No
One year,57,97.55,No
Two year,66,19.95,No
Month-to-month,60,50.8,Yes
Two year,45,99.7,No
Month-to-month,3,34.8,No
Month-to-month,15,105.1,Yes
One year,51,60.15,No
One year,60,64.75,No
Month-to-month,33,54.65,No
Month-to-month,10,110.1,Yes
One year,26,19.3,No
Month-to-month,6,83.9,Yes
One year,67,111.25,No
One year,49,35.8,No
Month-to-month,1,20.05,No
Month-to-month,7,84.35,No
One year,27,110.5,No
One year,37,91.2,No
Month-to-month,63,100.55,Yes
Month-to-month,31,89.3,No
Month-to-month,50,103.85,Yes
Month-to-month,32,81.1,No
Month-to-month,1,24.6,Yes
One year,63,81.2,No
Month-to-month,30,94.3,No
Two year,71,116.1,No
Two year,53,105.55,No
Month-to-month,12,98.9,Yes
Month-to-month,50,94.4,No
Month-to-month,2,19.5,No
Month-to-month,9,98.3,Yes
Month-to-month,17,93.85,Yes
One year,56,105.6,No
Two year,67,81.35,No
Month-to-month,9,100.5,Yes
Month-to-month,4,56.4,No
One year,19,65.35,No
Month-to-month,8,19.95,No
Two year,71,111.25,No
Month-to-month,10,72.85,Yes
Month-to-month,15,89.0,No
One year,72,106.1,No
One year,12,20.05,No
Two year,72,25.2,No
Month-to-month,1,73.55,Yes
Month-to-month,23,75.4,No
Two year,72,65.55,No
Month-to-month,26,80.7,No
One year,21,104.55,No
One year,60,24.15,No
Month-to-month,12,20.45,No
Month-to-month,16,75.4,No
One year,63,79.7,No
Month-to-month,22,81.7,No
Month-to-month,32,76.3,No
Month-to-month,3,79.4,Yes
Month-to-month,13,81.15,Yes
Two year,68,103.75,No
One year,30,86.45,No
Month-to-month,16,75.1,No
Two year,33,80.6,No
Two year,72,19.3,No
Month-to-month,4,84.6,Yes
One year,12,33.6,No
Month-to-month,4,83.25,No
Month-to-month,6,79.05,Yes
One year,65,108.05,No
Month-to-month,15,19.9,No
One year,24,21.05,No
Month-to-month,13,30.15,No
Month-to-month,24,79.85,No
Two year,72,65.5,No
Month-to-month,54,104.1,No
Month-to-month,3,74.4,Yes
Month-to-month,4,20.5,No
Month-to-month,32,91.35,No
Month-to-month,35,99.05,Yes
Two year,35,20.5,No
Month-to-month,2,44.95,Yes
Month-to-month,8,75.6,No
Month-to-month,22,55.1,No
Month-to-month,15,58.95,No
Month-to-month,22,95.1,No
Month-to-month,1,44.7,Yes
Two year,71,25.45,No
Month-to-month,4,56.75,No
Month-to-month,25,81.75,No
Month-to-month,32,86.1,No
Month-to-month,7,29.8,No
One year,17,20.5,No
Month-to-month,8,60.9,No
Two year,56,73.25,No
Month-to-month,1,45.7,Yes
Month-to-month,8,100.3,Yes
Month-to-month,7,19.25,Yes
Month-to-month,3,20.85,No
Two year,71,77.35,No
Month-to-month,2,96.0,Yes
Month-to-month,1,90.55,Yes
Month-to-month,49,93.85,No
Two year,58,70.1,No
Month-to-month,44,30.35,Yes
Two year,59,75.95,No
Two year,71,108.05,Yes
Month-to-month,1,69.9,Yes
Month-to-month,11,75.25,No
One year,62,103.75,Yes
One year,35,54.95,No
Month-to-month,20,19.5,No
Two year,40,19.6,No
One year,39,47.85,No
Month-to-month,1,86.6,Yes
Two year,72,23.75,No
Month-to-month,33,80.6,Yes
Month-to-month,12,43.8,No
Month-to-month,1,19.75,No
Month-to-month,27,19.15,No
One year,34,19.6,No
Two year,56,80.3,No
Two year,58,24.35,No
Two year,22,25.25,No
Two year,10,26.1,No
Two year,13,20.0,No
Month-to-month,35,85.3,Yes
Month-to-month,34,70.0,Yes
Month-to-month,4,94.3,Yes
Two year,72,20.7,No
Month-to-month,2,70.3,No
Month-to-month,7,95.35,Yes
Month-to-month,27,75.5,Yes
